图片ID,种族,职业,提示词
1567,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, silver hair, short hair, hime cut, centre parting bangs, silk bow, green eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, revealing witch armor, exposing dark leather, spirit whip, cursed blade, soul gems, dark magic accessories, combat jewelry, witch symbols, spirit chains, battle ornaments, alluring mystic warrior accessories, hex pouches, mysterious, combat stance, dark forest, witch fire, menacing, obsidian-purple color scheme, looking_outside, upper_body, front view, aerial,"
1568,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, disheveled hair, air bangs, streaked hair, purple eyes, athletic build, (medium breasts:1.2), blood-red color scheme, shadow berserker attire, dark rage armor, void-touched weapons, nightmare trophies, shadow frenzy symbols, dark fury jewelry, abyssal war paint, corruption ornaments, void battle scars, darkness rage accessories, shadow madness runes, abyss warrior tools, wild, charging, arena, battle fire, violent, blood-red color scheme, looking_away, profile, from_above, symmetric composition,"
1569,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, silver hair, short hair, messy hair, swept bangs, feather accent, heart-shaped eyes, athletic build, (medium breasts:1.2), obsidian scheme, poison master outfit, toxin specialist robes, venom blades, deadly poison collection, antidote kit, toxicology tools, poisoner jewelry, venom immunity accessories, toxin marks, chemical assassination ornaments, poison mastery runes, lethal compound tools, focused, shadow stance, dark alley, shadow, dark, obsidian scheme, facing_away, wide_shot, from_above, aerial,"
1570,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, wavy hair, crossed bangs, tiara, rainbow eyes, curvy build, huge breasts, dark crimson scheme, alluring dark queen attire, revealing shadow robes, obsidian crown, cruel scepter, slave collar collection, dark gemstones, commanding jewelry, power symbols, control accessories, domination tools, seductive tyrant ornaments, throne chains, cruel, standing dominantly, dungeon, torch light, dark, dark crimson scheme, looking_down, wide_shot, cinematic_angle, rule of thirds,"
1571,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, silver hair, short hair, straight hair, crossed bangs, flower accessory, rainbow eyes, curvy build, huge breasts, dark revealing scheme, alluring dark slave outfit, revealing bondage attire, heavy collar, connecting chains, submission tattoos, exposing leather, slave brands, restraint jewelry, servitude symbols, marking accessories, seductive captive ornaments, wrist shackles, obedient, submissive pose, dungeon, dim light, oppressive, dark revealing scheme, looking_ahead, cowboy_shot, from_side, symmetric composition,"
1572,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, silver hair, short hair, curly hair, asymmetric bangs, ahoge, rainbow eyes, curvy build, huge breasts, hemomancy scheme, revealing blood mage robes, crimson fabrics, blood chalice, ritual knife, sacrificial bowl, dark grimoire, blood jewelry, hemomancy symbols, curse accessories, dark power gems, alluring sinister ornaments, blood vials, cold, ritual pose, ritual chamber, dark light, sinister, hemomancy scheme, sideways_glance, upper_body, from_above, turn_one's_back,"
1573,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, air bangs, feather accent, heart-shaped eyes, curvy build, huge breasts, obsidian-purple color scheme, seductive dark witch attire, minimal battle armor, enchanted whip, shadow dagger, curse totems, combat magic tools, dark jewelry, witch markings, spirit accessories, battle charms, provocative sorceress ornaments, spell components, mysterious, whipping pose, cursed grove, moonlight, menacing, obsidian-purple color scheme, eye-contact, portrait, from_above, turn_one's_back,"
1574,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, disheveled hair, long bangs, tiara, pink eyes, curvy build, huge breasts, rage crimson scheme, beast transformation gear, primal rage armor, bestial weapons, animal transformation symbols, wild fury accessories, feral shift jewelry, beast form war paint, savage mutation ornaments, animal rage scars, predator fury tools, beast soul runes, transformation berserker implements, fierce, charging, colosseum, battle fire, violent, rage crimson scheme, looking_outside, medium_shot, cinematic_angle, rule of thirds,"
1575,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, forehead, long bangs, streaked hair, golden eyes, curvy build, huge breasts, shadow-black color scheme, phantom assassin attire, spectral stealth robes, ghost blades, incorporeal poison, spirit assassination tools, ethereal infiltration gear, phantom jewelry, intangible movement accessories, soul kill marks, ghostly stealth ornaments, spirit assassin runes, otherworld killer tools, focused, assassination pose, shadow realm, moonlight, tense, shadow-black color scheme, looking_up, full_shot, from_below, aerial,"
1576,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, black hair, short hair, hair between eyes, asymmetric bangs, ribbon, blue eyes, petite build, small breasts, dominance black-red scheme, dark high priestess attire, unholy matriarch robes, corrupted blessing scepter, demon pact scrolls, forbidden ritual tools, dark deity symbols, infernal jewelry, cult leader ornaments, blasphemous accessories, evil sanctification implements, dark faith gems, corruption spread tools, cold, commanding pose, dungeon, torch light, oppressive, dominance black-red scheme, looking_away, full_shot, dutch angle, turn_one's_back,"
1577,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, black hair, short hair, hair between eyes, blunt bangs, feather accent, red eyes, petite build, small breasts, submissive scheme, alluring dark slave outfit, revealing bondage attire, heavy collar, connecting chains, submission tattoos, exposing leather, slave brands, restraint jewelry, servitude symbols, marking accessories, seductive captive ornaments, wrist shackles, fearful, submissive pose, dungeon, dim light, dark, submissive scheme, eye-contact, wide_shot, front view, symmetric composition,"
1578,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (black hair:1.2), black to dark purple gradient hair, short hair, straight hair, blunt bangs, tiara, rainbow eyes, petite build, small breasts, blood-red color scheme, alluring sacrificer outfit, revealing ceremonial robes, corrupted chalice, ritual blade, offering bowl, dark spell components, crimson jewelry, sacrifice symbols, curse accessories, blood magic tools, seductive dark ornaments, skull ornaments, cold, casting, blood altar, dark light, sinister, blood-red color scheme, facing_away, panorama, cinematic_angle, symmetric composition,"
1579,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, black hair, short hair, bob cut, tiara, brown eyes, petite build, small breasts, dark mystic scheme, seductive dark witch attire, minimal battle armor, enchanted whip, shadow dagger, curse totems, combat magic tools, dark jewelry, witch markings, spirit accessories, battle charms, provocative sorceress ornaments, spell components, cold, combat stance, dark forest, moonlight, mystical, dark mystic scheme, eye-contact, full_shot, front view, elegant composition,"
1580,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (black hair:1.2), black to dark purple gradient hair, short hair, forehead, asymmetric bangs, braid detail, red eyes, petite build, small breasts, rage crimson scheme, seductive savage attire, barely-there armor, brutal weapons, bone ornaments, blood accessories, feral jewelry, war trophies, tribal markings, combat scars, rage symbols, provocative warrior ornaments, tooth necklace, wild, combat stance, colosseum, battle fire, violent, rage crimson scheme, looking_up, cowboy_shot, dutch angle, aerial,"
1581,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, (black hair:1.2), black to dark purple gradient hair, short hair, hair between eyes, asymmetric bangs, feather accent, purple eyes, petite build, small breasts, assassin dark scheme, seductive shadowblade attire, exposing dark armor, dual daggers, assassination tools, stealth equipment, shadow magic accessories, silent boots, deadly ornaments, kill trophies, infiltration tools, provocative assassin ornaments, smoke vials, deadly, sneaking, dark alley, moonlight, tense, assassin dark scheme, looking_afar, panorama, front view, symmetric composition,"
1582,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, (black hair:1.2), black to dark purple gradient hair, short hair, wavy hair, delicate hair ornament, golden eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, pain goddess attire, torment priestess robes, suffering scepter, agony infliction tools, torture implements, sadistic accessories, pain amplification gems, cruelty symbols, victim tears vials, dominance torture devices, merciless ornaments, torment altar tools, commanding, commanding pose, dark cavern, purple glow, dark, obsidian-purple color scheme, head_down, full_shot, cinematic_angle, turn_one's_back,"
1583,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, black hair, short hair, disheveled hair, crossed bangs, jeweled hairpin, rainbow eyes, athletic build, (medium breasts:1.2), dark revealing scheme, gladiator slave outfit, arena collar, minimal combat gear, battle chains, fighter accessories, combat slave marks, entertainment warrior attire, crowd pleasing ornaments, battle entertainment jewelry, slave fighter symbols, arena captive tools, spectacle chains, obedient, submissive pose, dungeon, dim light, oppressive, dark revealing scheme, looking_up, wide_shot, from_side, symmetric composition,"
1584,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, black hair, short hair, disheveled hair, crossed bangs, silk bow, green eyes, athletic build, (medium breasts:1.2), crimson-black scheme, revealing blood mage robes, crimson fabrics, blood chalice, ritual knife, sacrificial bowl, dark grimoire, blood jewelry, hemomancy symbols, curse accessories, dark power gems, alluring sinister ornaments, blood vials, focused, channeling, ritual chamber, dark light, ominous, crimson-black scheme, looking_back, cowboy_shot, from_below, symmetric composition,"
1585,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, black hair, short hair, hime cut, long bangs, streaked hair, pink eyes, athletic build, (medium breasts:1.2), dark mystic scheme, seductive dark witch attire, minimal battle armor, enchanted whip, shadow dagger, curse totems, combat magic tools, dark jewelry, witch markings, spirit accessories, battle charms, provocative sorceress ornaments, spell components, fierce, whipping pose, dark forest, moonlight, menacing, dark mystic scheme, looking_to_the_side, upper_body, front view, rule of thirds,"
